,open,high,low,close
2006-10-04,1.8875,1.8883,1.878,1.8865
2006-10-05,1.8866,1.8868,1.875,1.8786
2006-10-06,1.8787,1.8873,1.8674,1.8705
2006-10-09,1.8689,1.8711,1.8635,1.8667
2006-10-10,1.8667,1.8701,1.8526,1.8539
2006-10-11,1.8539,1.8587,1.8517,1.8542
2006-10-12,1.8544,1.8612,1.8536,1.8591
2006-10-13,1.8589,1.8636,1.8533,1.8554
2006-10-16,1.8549,1.8646,1.8523,1.8619
2006-10-17,1.862,1.8736,1.8608,1.8716
2006-10-18,1.8715,1.8738,1.8662,1.8675
2006-10-19,1.8676,1.8799,1.8664,1.8773
2006-10-20,1.8773,1.8858,1.8755,1.8832
2006-10-23,1.8829,1.883,1.8686,1.8727
2006-10-24,1.8728,1.8768,1.8674,1.8723
2006-10-25,1.8725,1.8798,1.872,1.8778
2006-10-26,1.8782,1.8925,1.8778,1.8897
2006-10-27,1.8898,1.9001,1.8871,1.8981
2006-10-30,1.8957,1.9042,1.8953,1.9012
2006-10-31,1.9011,1.9097,1.8959,1.9073
2006-11-01,1.9073,1.9136,1.9055,1.9086
2006-11-02,1.9085,1.9105,1.9033,1.9084
2006-11-03,1.9084,1.9113,1.8975,1.9007
2006-11-06,1.9018,1.9028,1.8948,1.8976
2006-11-07,1.8975,1.9122,1.8969,1.9058
2006-11-08,1.9059,1.9095,1.9007,1.9054
2006-11-09,1.9053,1.9084,1.8974,1.9051
2006-11-10,1.905,1.9178,1.905,1.9107
2006-11-13,1.9106,1.9152,1.8997,1.9011
2006-11-14,1.901,1.9049,1.8924,1.8952
2006-11-15,1.8954,1.8969,1.8837,1.8891
2006-11-16,1.8887,1.8931,1.8852,1.888
2006-11-17,1.8881,1.8966,1.8836,1.8951
2006-11-20,1.895,1.8987,1.8931,1.8976
2006-11-21,1.8976,1.9003,1.8961,1.8987
2006-11-22,1.8989,1.9166,1.8985,1.9146
2006-11-23,1.9144,1.9168,1.9129,1.9156
2006-11-24,1.9154,1.9349,1.9145,1.932
2006-11-27,1.9388,1.9457,1.9307,1.9376
2006-11-28,1.938,1.9533,1.9367,1.9516
2006-11-29,1.9515,1.9544,1.9433,1.9463
2006-11-30,1.9464,1.9698,1.9447,1.9661
2006-12-01,1.966,1.9847,1.9636,1.9808
2006-12-04,1.9766,1.9837,1.9725,1.9813
2006-12-05,1.981,1.982,1.9678,1.9731
2006-12-06,1.973,1.9738,1.9618,1.9661
2006-12-07,1.9661,1.971,1.9611,1.9631
2006-12-08,1.9631,1.9727,1.9513,1.9546
2006-12-11,1.9518,1.9594,1.9466,1.958
2006-12-12,1.9576,1.9714,1.9575,1.9711
2006-12-13,1.9711,1.9727,1.9607,1.9664
2006-12-14,1.9662,1.9711,1.9579,1.9602
2006-12-15,1.9605,1.9663,1.9498,1.9519
2006-12-18,1.9526,1.9579,1.9433,1.9469
2006-12-19,1.9472,1.9701,1.9465,1.97
2006-12-20,1.9697,1.9748,1.9618,1.9645
2006-12-21,1.9647,1.9697,1.9558,1.9611
2006-12-22,1.9612,1.968,1.956,1.958
2006-12-25,1.958,1.9756,1.9555,1.9752
2006-12-26,1.9677,1.9677,1.9515,1.9536
2006-12-27,1.9537,1.963,1.9527,1.9563
2006-12-28,1.9561,1.9677,1.9555,1.9629
2006-12-29,1.9628,1.967,1.9566,1.9586
2007-01-01,1.9587,1.959,1.9575,1.959
2007-01-02,1.9591,1.9742,1.9589,1.9736
2007-01-03,1.9735,1.9751,1.9482,1.9511
2007-01-04,1.9512,1.953,1.9397,1.9428
2007-01-05,1.9427,1.9444,1.9264,1.9291
2007-01-08,1.9307,1.9404,1.9259,1.9379
2007-01-09,1.9376,1.9455,1.9372,1.9396
2007-01-10,1.9396,1.9421,1.9316,1.9319
2007-01-11,1.932,1.9534,1.9317,1.9451
2007-01-12,1.9451,1.9606,1.9427,1.9589
2007-01-15,1.9639,1.9652,1.963,1.9643
2007-01-16,1.9644,1.9702,1.9591,1.9609
2007-01-17,1.9612,1.9723,1.9601,1.9697
2007-01-18,1.9697,1.9778,1.9635,1.9743
2007-01-19,1.9742,1.977,1.9695,1.9737
2007-01-22,1.9738,1.9786,1.9717,1.9761
2007-01-23,1.9761,1.9914,1.9751,1.9814
2007-01-24,1.9813,1.983,1.9645,1.9695
2007-01-25,1.9696,1.9731,1.9626,1.9639
2007-01-26,1.9641,1.968,1.9559,1.9588
2007-01-29,1.9595,1.9614,1.9549,1.961
2007-01-30,1.9608,1.9695,1.9599,1.9627
2007-01-31,1.9626,1.9669,1.9481,1.9652
2007-02-01,1.9648,1.9735,1.9621,1.9667
2007-02-02,1.9666,1.9746,1.9637,1.966
2007-02-05,1.9656,1.9667,1.9536,1.9603
2007-02-06,1.9602,1.972,1.9588,1.9709
2007-02-07,1.971,1.9733,1.9675,1.9704
2007-02-08,1.9705,1.9728,1.9543,1.9587
2007-02-09,1.9588,1.96,1.9456,1.949
2007-02-12,1.9481,1.9565,1.9438,1.9475
2007-02-13,1.9469,1.9522,1.9402,1.9468
2007-02-14,1.9468,1.9639,1.9454,1.9626
2007-02-15,1.9625,1.9677,1.951,1.951
2007-02-16,1.9517,1.9539,1.9464,1.9499
2007-02-19,1.9522,1.9561,1.9433,1.9513
2007-02-20,1.9511,1.9576,1.9478,1.955
2007-02-21,1.955,1.959,1.9487,1.954
2007-02-22,1.9541,1.96,1.9462,1.9565
2007-02-23,1.9566,1.9651,1.9537,1.9632
2007-02-26,1.9628,1.966,1.9608,1.9634
2007-02-27,1.9633,1.9672,1.9592,1.9621
2007-02-28,1.9622,1.9644,1.9518,1.9637
2007-03-01,1.9635,1.9652,1.956,1.9584
2007-03-02,1.9581,1.9582,1.9412,1.9434
2007-03-05,1.9436,1.9447,1.9184,1.9204
2007-03-06,1.921,1.9321,1.9184,1.9313
2007-03-07,1.9315,1.9358,1.9261,1.9327
2007-03-08,1.9323,1.9352,1.9272,1.9282
2007-03-09,1.928,1.934,1.9268,1.9319
2007-03-12,1.9342,1.9432,1.9251,1.9324
2007-03-13,1.9324,1.9353,1.9272,1.9288
2007-03-14,1.9289,1.9373,1.9212,1.9361
2007-03-15,1.9359,1.9392,1.9308,1.9373
2007-03-16,1.9372,1.9503,1.9356,1.9423
2007-03-19,1.9415,1.9472,1.9384,1.9441
2007-03-20,1.9434,1.9623,1.9432,1.9612
2007-03-21,1.9611,1.969,1.9555,1.9676
2007-03-22,1.9677,1.9726,1.9611,1.9647
2007-03-23,1.9646,1.9689,1.9587,1.9615
2007-03-26,1.9612,1.9721,1.9571,1.9692
2007-03-27,1.9692,1.9704,1.962,1.9656
2007-03-28,1.9666,1.968,1.96,1.9614
2007-03-29,1.9613,1.9658,1.9613,1.9617
2007-03-30,1.9618,1.9716,1.9546,1.9677
2007-04-02,1.969,1.98,1.9662,1.9777
2007-04-03,1.9777,1.9821,1.973,1.974
2007-04-04,1.9742,1.9774,1.9717,1.9761
2007-04-05,1.9761,1.977,1.9669,1.9707
2007-04-06,1.9706,1.972,1.9636,1.9653
2007-04-09,1.9654,1.9656,1.9591,1.9625
2007-04-10,1.9625,1.9751,1.9613,1.9727
2007-04-11,1.9728,1.9815,1.9709,1.9749
2007-04-12,1.9749,1.981,1.9725,1.9793
2007-04-13,1.979,1.9886,1.9782,1.9861
2007-04-16,1.9861,1.9938,1.9854,1.9896
2007-04-17,1.9894,2.0074,1.9879,2.0067
2007-04-18,2.007,2.013,2.0014,2.0085
2007-04-19,2.0083,2.0095,1.9985,2.0032
2007-04-20,2.0032,2.0069,1.9991,2.0021
2007-04-23,2.0042,2.006,1.9976,2.0007
2007-04-24,2.0005,2.0045,1.9954,2.0017
2007-04-25,2.0024,2.0061,2.0004,2.0013
2007-04-26,2.0013,2.0059,1.9891,1.9911
2007-04-27,1.991,2.0042,1.9866,1.9973
2007-04-30,1.9957,2.003,1.9891,1.9994
2007-05-01,1.9994,2.0072,1.998,1.9987
2007-05-02,1.9984,1.9994,1.9871,1.9897
2007-05-03,1.9896,1.9945,1.9855,1.9866
2007-05-04,1.987,1.994,1.9844,1.9921
2007-05-07,1.9941,1.9974,1.9925,1.9929
2007-05-08,1.9928,1.9962,1.9879,1.9892
2007-05-09,1.9893,1.9996,1.9882,1.9935
2007-05-10,1.9934,1.9961,1.977,1.9798
2007-05-11,1.9794,1.9844,1.9761,1.9812
2007-05-14,1.9817,1.9845,1.978,1.9791
2007-05-15,1.9791,1.9872,1.9748,1.9858
2007-05-16,1.9853,1.9872,1.9756,1.9768
2007-05-17,1.9768,1.9789,1.9733,1.9746
2007-05-18,1.9744,1.9775,1.97,1.9747
2007-05-21,1.9751,1.9754,1.9677,1.9715
2007-05-22,1.9713,1.9768,1.9701,1.9744
2007-05-23,1.9745,1.9893,1.9717,1.9866
2007-05-24,1.9865,1.9888,1.983,1.9846
2007-05-25,1.9844,1.9878,1.9831,1.9835
2007-05-28,1.9842,1.9848,1.9823,1.9835
2007-05-29,1.9834,1.9898,1.9791,1.9811
2007-05-30,1.9812,1.9829,1.9733,1.9757
2007-05-31,1.9762,1.9818,1.9737,1.9798
2007-06-01,1.9797,1.9825,1.9768,1.9822
2007-06-04,1.9821,1.9926,1.9813,1.9913
2007-06-05,1.9914,1.9967,1.9909,1.9932
2007-06-06,1.993,1.9957,1.9908,1.9925
2007-06-07,1.9921,1.9942,1.9746,1.978
2007-06-08,1.9776,1.9791,1.9623,1.9699
2007-06-11,1.9695,1.9702,1.965,1.969
2007-06-12,1.969,1.9783,1.9685,1.9743
2007-06-13,1.974,1.9762,1.9675,1.973
2007-06-14,1.9728,1.9735,1.9657,1.9691
2007-06-15,1.9696,1.9779,1.9687,1.9759
2007-06-18,1.9757,1.9843,1.9757,1.9834
2007-06-19,1.9833,1.9889,1.9825,1.9887
2007-06-20,1.9886,1.9947,1.987,1.9931
2007-06-21,1.9927,1.994,1.9887,1.9924
2007-06-22,1.9923,1.9996,1.991,1.9993
2007-06-25,1.999,2.0004,1.9956,1.9975
2007-06-26,1.9977,2.0015,1.9958,1.9988
2007-06-27,1.9984,1.9994,1.9929,1.9992
2007-06-28,1.9991,2.0042,1.9975,2.0028
2007-06-29,2.0027,2.0086,2.0011,2.0086
2007-07-02,2.0084,2.0184,2.007,2.017
2007-07-03,2.0172,2.0193,2.0133,2.0157
2007-07-04,2.016,2.0204,2.0149,2.0162
2007-07-05,2.0161,2.02,2.0088,2.0112
2007-07-06,2.0117,2.014,2.0057,2.0107
2007-07-09,2.011,2.0171,2.0096,2.0151
2007-07-10,2.0151,2.028,2.0121,2.0278
2007-07-11,2.0277,2.0362,2.0244,2.0323
2007-07-12,2.032,2.036,2.027,2.0301
2007-07-13,2.0301,2.0365,2.0261,2.0342
2007-07-16,2.034,2.0402,2.0324,2.036
2007-07-17,2.0361,2.0473,2.0348,2.0467
2007-07-18,2.0465,2.0547,2.046,2.0527
2007-07-19,2.0525,2.054,2.047,2.0488
2007-07-20,2.0486,2.0586,2.048,2.056
2007-07-23,2.0555,2.0602,2.0548,2.0592
